,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
11840,i gi me te en,igimeteen,mE,,,,,,,,,,,PN,,,PN,i-gi.me-te-en,𒄿 𒄀 𒈨 𒋼 𒂗,False,0,False
11841,i gi na pi ir,iginapiir,oE,,,,,,,,,,,PN,,,PN,i-gi.na-pi-ir,𒄿 𒄀 𒈾 𒉿 𒅕,False,0,False
11842,i gi ni lu tu h,iginilutuh,mE,,,,,,,,,,,PN,,,PN,i-gi.ni.lu-tu-h,𒄿 𒄀 𒉌 𒇻 𒌅 𒀸,False,0,False
11843,i gi te ir,igiteir,mE,,,,,,,,,,,PN,,,PN,i-gi.te-ir,𒄿 𒄀 𒋼 𒅕,False,0,False
11844,i gu ri,iguri,oE,,,,,,,,,,,PN,,,PN,i-gu-ri,𒄿 𒄖 𒊑,False,0,False
11846,i ki šu ni,ikis~uni,oE,,,,,,,,,,,PN,,,PN,i-ki.šu-ni,𒄿 𒆠 𒋗 𒉌,False,0,False
11847,i ku bi,ikubi,oE,,,,,,,,,,,PN,,,PN,i-ku-bi,𒄿 𒆪 𒁉,False,0,False
11848,i ku bi ša,ikubis~a,oE,,,,,,,,,,,PN,,,PN,i-ku-bi-ša,𒄿 𒆪 𒁉 𒊭,False,0,False
11849,i ku ku a,ikukua,oE,,,,,,,,,,,PN,,,PN,i-ku-ku-a,𒄿 𒆪 𒆪 𒀀,False,0,False
11850,i la ak ki,ilaakki,oE,,,,,,,,,,,PN,,,PN,i-la-ak?-ki,𒄿 𒆷 𒀝 𒆠,False,0,False
11853,i lu lu,ilulu,oE,,,,,,,,,,,PN,,,PN,i-lu-lu,𒄿 𒇻 𒇻,False,0,False
11854,i ma zu,imazu,oE,,,,,,,,,,,PN,,,PN,i-ma-zu,𒄿 𒈠 𒍪,False,0,False
11855,i na ha,inaha,oE,,,,,,,,,,,PN,,,PN,i-na-ha,𒄿 𒈾 𒄩,False,0,False
11856,i pi ra še,ipiras~e,oE,,,,,,,,,,,PN,,,PN,i-pi-ra-še,𒄿 𒉿 𒊏 𒊺,False,0,False
11857,i ri bi,iribi,oE,,,,,,,,,,,PN,,,PN,i-ri-bi,𒄿 𒊑 𒁉,False,0,False
11858,i ri ri,iriri,oE,,,,,,,,,,,PN,,,PN,i-ri-ri,𒄿 𒊑 𒊑,False,0,False
11859,i ri si am ma,irisiamma,oE,,,,,,,,,,,PN,,,PN,i-ri-si-am-ma,𒄿 𒊑 𒋛 𒄠 𒈠,False,0,False
11860,i ri bu ni,iribuni,oE,,,,,,,,,,,PN,,,PN,i-ri.bu-ni,𒄿 𒊑 𒁍 𒉌,False,0,False
11861,i ri si mu ut,irisimuut,oE,,,,,,,,,,,PN,,,PN,i-ri.si-mu-ut,𒄿 𒊑 𒋛 𒈬 𒌓,False,0,False
11862,i še me hu šu,is~emehus~u,oE,,,,,,,,,,,PN,,,PN,i-še-me.hu-šu,𒄿 𒊺 𒈨 𒄷 𒋗,False,0,False
11863,i še hu ut ra,is~ehuutra,oE,,,,,,,,,,,PN,,,PN,i-še.hu-ut-ra,𒄿 𒊺 𒄷 𒌓 𒊏,False,0,False
11864,i si gi gi,isigigi,oE,,,,,,,,,,,PN,,,PN,i-si-gi-gi,𒄿 𒋛 𒄀 𒄀,False,0,False
11865,i si ir,isiir,oE,,,,,,,,,,,PN,,,PN,i-si-ir,𒄿 𒋛 𒅕,False,0,False
11866,i si pir6,isipir6,oE,,,,,,,,,,,PN,,,PN,i-si-pir6,𒄿 𒋛 𒉆,False,0,False
11867,i šu tan,is~utan,oE,,,,,,,,,,,PN,,,PN,i-šu.tan,𒄿 𒋗 𒆗,False,0,False
11869,i za za,izaza,oE,,,,,,,,,,,PN,,,PN,i-za-za,𒄿 𒍝 𒍝,False,0,False
11870,i za bu ni,izabuni,oE,,,,,,,,,,,PN,,,PN,i-za.bu-ni,𒄿 𒍝 𒁍 𒉌,False,0,False
11871,i zi a bu ni,iziabuni,oE,,,,,,,,,,,PN,,,PN,i-zi-a.bu-ni,𒄿 𒍣 𒀀 𒁍 𒉌,False,0,False
11872,i zi b a …,iziba,oE,,,,,,,,,,,PN,,,PN,i-zi-b[a-…],𒄿 𒍣 𒁀 …,False,0,False
11873,i zi ra sa at,izirasaat,oE,,,,,,,,,,,PN,,,PN,i-zi-ra.sa-at,𒄿 𒍣 𒊏 𒊓 𒀜,False,0,False
11874,i zu bu,izubu,oE,,,,,,,,,,,PN,,,PN,i-zu-bu,𒄿 𒍪 𒁍,False,0,False
11875,i zu rí ik,izuriik,oE,,,,,,,,,,,PN,,,PN,i-zu-rí-ik,𒄿 𒍪 𒌷 𒅅,False,0,False
11876,i zu zu,izuzu,oE,,,,,,,,,,,PN,,,PN,i-zu-zu,𒄿 𒍪 𒍪,False,0,False
11877,i tù úr ha ap ru h,ituurhaapruh,oE,,,,,,,,,,,PN,,,PN,i?-tù-úr.ha-ap-ru-h,𒄿 𒁺 𒌫 𒄩 𒀊 𒊒 𒀸,False,0,False
11878,ià ab ra at,iaabraat,Akk,,,,,,,,,,,PN,,,PN,ià-ab-ra-at,𒉌 𒀊 𒊏 𒀜,False,0,False
11879,ib bi lu uš ši,ibbiluus~s~i,oE,,,,,,,,,,,PN,,,PN,ib-bi.lu-uš-ši,𒅁 𒁉 𒇻 𒍑 𒅆,False,0,False
11880,ib bu bu,ibbubu,oE,,,,,,,,,,,PN,,,PN,ib-bu-bu,𒅁 𒁍 𒁍,False,0,False
11881,ig gi lu lu,iggilulu,oE,,,,,,,,,,,PN,,,PN,ig-gi.lu-lu,𒅅 𒄀 𒇻 𒇻,False,0,False
11882,ik ku ku,ikkuku,oE,,,,,,,,,,,PN,,,PN,ik-ku-ku,𒅅 𒆪 𒆪,False,0,False
11883,ik li li tum,iklilitum,,,,,,,,,,,,PN,,,PN,ik-li-li-tum,𒅅 𒇷 𒇷 𒌈,False,0,False
11884,il lu lu,illulu,oB,,,,,,,,,,,PN,,,PN,il-lu-lu,𒅋 𒇻 𒇻,False,0,False
11885,im bu bu,imbubu,oE,,,,,,,,,,,PN,,,PN,im-bu-bu,𒅎 𒁍 𒁍,False,0,False
11886,im gi lu lu,imgilulu,oE,,,,,,,,,,,PN,,,PN,im-gi.lu-lu,𒅎 𒄀 𒇻 𒇻,False,0,False
11887,im ma ni e šu,immanies~u,nB,,,,,,,,,,,PN,,,PN,im-ma-ni-e-šu,𒅎 𒈠 𒉌 𒂊 𒋗,False,0,False
11888,im mu mu,immumu,oE,,,,,,,,,,,PN,,,PN,im-mu-mu,𒅎 𒈬 𒈬,False,0,False
